machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),duration_ratio_1_2
corona,miniqmc,0.0333,90000000.0,562246406.0,165318684.0,1402000000.0,50830727.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,224487102.0,0.320476,1.5015015015015014
corona,miniqmc,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,6.024096385542169
corona,miniqmc,0.0333,124000000.0,853955160.0,251122030.0,2078000000.0,65016053.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,342329139.0,0.475568,1.5015015015015014
corona,miniqmc,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,6.024096385542169
corona,miniqmc,0.0333,176000000.0,1257541504.0,371643457.0,3028000000.0,117270712.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,504138266.0,0.701296,1.0
corona,miniqmc,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,7.024096385542168
corona,miniqmc,0.0333,250000000.0,1807856594.0,530895230.0,4320000000.0,140329736.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,721164987.0,0.981151,1.5015015015015014
corona,miniqmc,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,7.024096385542168
corona,miniqmc,0.05,342000000.0,2484911951.0,730704375.0,5912000000.0,197098134.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1010053580.0,1.341749,1.0
corona,miniqmc,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
corona,miniqmc,0.05,438000000.0,3271314626.0,961753693.0,7742000000.0,286556216.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1337585320.0,1.802596,1.0
corona,miniqmc,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,11.042168674698795
corona,miniqmc,0.0666,576000000.0,4286145334.0,1256545034.0,10120000000.0,376316817.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1766726395.0,2.334196,0.7507507507507507
corona,miniqmc,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
