machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),duration_ratio_2_1
quartz,cosmoflow,0.0333,177166666.7,248305555.6,25833333.33,620472222.2,27777.77778,0.0,0.0,0.0,4382.277778,9470763.681,2138761.958,525.0555556,30141.90278,11055555.56,0.210431236,1.0
quartz,cosmoflow,0.0833,252962963.0,574666666.7,242222222.2,1706222222.0,10592592.59,5185185.185,888888.8889,74074.07407,220914.5926,420164124.3,76087713.33,56077.62963,2105295.778,88740740.74,0.464648,
quartz,cosmoflow,0.05,161138888.9,228527777.8,25305555.56,572305555.6,0.0,0.0,0.0,0.0,6657.347222,13914286.15,2974971.917,525.0555556,30141.88889,13222222.22,0.280699431,0.666
quartz,cosmoflow,0.0666,346000000.0,856222222.2,356592592.6,2506592593.0,14740740.74,8296296.296,2222222.222,740740.7407,365433.3333,696047681.1,125227832.3,63869.2963,2105701.889,150074074.1,0.711145333,
quartz,cosmoflow,0.05,161805555.6,233083333.3,26500000.0,585388888.9,27777.77778,27777.77778,0.0,0.0,9815.861111,21109198.51,4262137.75,525.0555556,30141.90278,16583333.33,0.298262181,0.666
quartz,cosmoflow,0.1,767777777.8,1548666667.0,651851851.9,4675333333.0,22740740.74,13333333.33,3555555.556,1333333.333,528076.8889,1015222669.0,178954050.7,66492.59259,2105838.37,227851851.9,1.261927,0.16599999999999998
quartz,cosmoflow,0.0333,221250000.0,320138888.9,37055555.56,803166666.7,0.0,27777.77778,0.0,0.0,13730.31944,28171775.35,5936978.972,525.0555556,30141.875,27861111.11,0.375720917,1.5015015015015014
quartz,cosmoflow,0.0833,1114740741.0,2229407407.0,940814814.8,6746444444.0,32962962.96,18740740.74,5185185.185,1703703.704,768185.7407,1485206638.0,270656018.5,53471.88889,2105159.926,301407407.4,1.809258556,
quartz,cosmoflow,0.05,217361111.1,321416666.7,38888888.89,807972222.2,0.0,27777.77778,0.0,0.0,18742.69444,37435115.01,8185867.125,525.0555556,30141.90278,37138888.89,0.495689125,0.666
quartz,cosmoflow,0.1166,1430370370.0,2975555556.0,1254740741.0,8935851852.0,47777777.78,25481481.48,7037037.037,2814814.815,1027657.074,1988377719.0,351929658.4,63894.33333,2105702.889,440000000.0,2.362952519,
quartz,cosmoflow,0.05,266972222.2,397194444.4,48916666.67,997055555.6,55555.55556,27777.77778,0.0,0.0,24313.33333,49074090.44,10692962.49,525.0555556,30141.90278,46194444.44,0.636478194,0.666
quartz,cosmoflow,0.1166,1906000000.0,3928962963.0,1656740741.0,11823777778.0,40666666.67,35851851.85,7185185.185,4370370.37,1363134.889,2645940323.0,487297464.9,53501.37037,2105161.111,571703703.7,3.234109407,
quartz,cosmoflow,0.05,269222222.2,409611111.1,53222222.22,1030194444.0,416666.6667,55555.55556,0.0,27777.77778,31181.81944,62911631.97,13492087.38,525.0555556,30141.90278,65694444.44,0.632446042,1.0
quartz,cosmoflow,0.15,2424444444.0,5046370370.0,2011851852.0,14907185185.0,78370370.37,46000000.0,12888888.89,5185185.185,1728641.259,3349506529.0,596765934.2,58697.85185,2105432.0,795777777.8,4.201257296,0.11066666666666668
