machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
corona,minigan,0.0333,68000000.0,416174990.0,122567505.0,1056000000.0,38287346.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,169319861.0,0.240243
corona,minigan,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,minigan,0.0333,94000000.0,633022007.0,186627893.0,1566000000.0,49185033.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,254433108.0,0.360758
corona,minigan,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,minigan,0.0333,132000000.0,940088234.0,278372011.0,2280000000.0,88257529.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,378132220.0,0.526417
corona,minigan,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,minigan,0.05,188000000.0,1346415058.0,399963678.0,3254000000.0,104954901.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,549558492.0,0.74133
corona,minigan,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,minigan,0.0333,258000000.0,1867627335.0,549525983.0,4454000000.0,148942954.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,761825662.0,1.021864
corona,minigan,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,minigan,0.05,330000000.0,2454864727.0,720971093.0,5832000000.0,214903235.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1005768131.0,1.346841
corona,minigan,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,minigan,0.05,434000000.0,3219784194.0,946790110.0,7624000000.0,286038375.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1335607655.0,1.75287
corona,minigan,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
