machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,435555550,1235527800,192194450,2783416600,42416668,6916666.5,11527778,2027777.8,2.9583333,138755580,38105684,550.1389,30160.166,250500000,38.214886
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,568111100,1896916600,311472220,4213527800,82638890,16750000,17138888,4027777.8,3.9722223,236867340,67471180,548.4167,30160.223,451000000,55
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,443194430,1263472300,202277780,2859166700,44000000,7027778,12194444,2027777.8,0.6388889,183353260,80617500,551.8333,30161.305,268861120,47.166
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,492194430,1073388860,151277780,2471889000,45805556,6111111,12277778,2027777.8,2.4722223,85518250,90554490,551.8611,30161.305,360138880,56.02161
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,46195610000,1.02E+11,13663111000,2.31E+11,4973333500,758944450,2230472200,272361120,2.9027777,3921400600,4651602400,575.9722,30158.459,56353026000,1.1842105
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,3.92E+11,1.14E+12,1.67E+11,2.48E+12,80134470000,11311750000,43777696000,4207916500,1.1111112,68821010000,72602860000,575.9167,30161.084,8.83E+11,1.9763756
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,50719250000,1.08E+11,14418417000,2.47E+11,4954416600,747250000,2238777900,271777800,500.68054,4095509800,4707151000,10093.694,31333.389,56674360000,5.4587684
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,3.9E+11,1.13E+12,1.68E+11,2.48E+12,80271300000,11303917000,43921195000,4201250000,2186.5972,69191710000,72714740000,10097.542,35295.375,8.6E+11,1.9373637
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,166666.67,222222.22,27777.777,555555.56,0,0,0,0,2.6805556,3861.2917,984.6389,533.0417,30152.014,0,271.88553
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,972083300,1789750000,223166670,4204000000,58722224,8388889,17888888,2194444.5,1,70842520,64158708,533.05554,30160.666,535861120,45.133
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,16184972000,42137805000,6332611000,95481450000,1551888900,287805570,868388860,84972220,4.111111,4194504000,955663100,532.9167,30161.209,8372805600,3.4717693
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,6450944500,24375888000,4112583400,52157860000,2346500000,425527780,570888900,104611110,4.2222223,1378701800,1919241700,547.2222,30159.82,15286695000,4.0420027
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,16310194000,38519720000,6327666700,87694115000,1539972200,812305540,275000000,45916668,4.1805553,2164421600,855344300,545.7778,30161.875,5508472300,4.589952
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,12698445000,58417110000,10598888000,1.23E+11,5530472400,1161000000,1558083300,271833340,3.3055556,3427822000,4925206500,545.7778,30160.389,42989000000,1.7471064
Quartz,-1.0101814,-0.17543112,1.0897137,1.1110862,-0.028992312,1.7014234,0.6903719,-0.83698064,-0.39014408,-1.2388877,-1.7057103,0.44814375,0.28958744,0.54111403,-1.009092,1,11347667000,83199164000,16324833000,1.75E+11,5148638700,1587694500,1484166700,267916670,5.236111,13518901000,3980255700,545.75,30160.389,26563890000,1.7934117
