machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
ruby,comd,0.0166,61767857.14,85946428.57,8892857.143,215857142.9,0.0,0.0,0.0,0.0,2299.455357,4630452.741,410818.1429,938.7232143,19688.72321,2017857.143,0.160493107
ruby,comd,0.0666,55259259.26,154111111.1,54777777.78,434111111.1,962962.963,851851.8519,0.0,0.0,71372.55556,130142922.7,15205231.54,50659.38889,1053565.796,14444444.44,0.155157519
ruby,comd,0.0333,84267857.14,117625000.0,12535714.29,294946428.6,0.0,0.0,0.0,0.0,4186.267857,7271533.036,592507.0804,938.7321429,19688.71429,2821428.571,0.167018643
ruby,comd,0.0833,78703703.7,233592592.6,84629629.63,654444444.4,1629629.63,1777777.778,0.0,0.0,109387.8333,203673106.3,23826702.59,52605.16667,1053633.537,26185185.19,0.236688204
ruby,comd,0.0333,81053571.43,114446428.6,12482142.86,287642857.1,0.0,0.0,0.0,0.0,4355.258929,7789552.732,824643.3393,938.7232143,19688.72321,5035714.286,0.210278893
ruby,comd,0.1,166185185.2,400814814.8,146740740.7,1153370370.0,4148148.148,3074074.074,0.0,0.0,162396.7593,305386332.4,34630641.56,52605.16667,1053633.537,39037037.04,0.381725148
ruby,comd,0.0333,95553571.43,136107142.9,14857142.86,341464285.7,0.0,0.0,0.0,0.0,5136.892857,9579489.821,1188501.161,938.7142857,19688.69643,4839285.714,0.250358634
ruby,comd,0.0666,225703703.7,558444444.4,204518518.5,1601296296.0,7111111.111,4703703.704,0.0,0.0,227940.2963,431156810.2,50695983.96,52605.16667,1053633.537,57851851.85,0.553167593
ruby,comd,0.0166,89607142.86,129785714.3,15000000.0,326839285.7,0.0,0.0,0.0,0.0,7880.053571,14428023.85,1596697.696,938.7232143,19688.72321,12392857.14,0.274995464
ruby,comd,0.0833,303444444.4,755962963.0,278407407.4,2170259259.0,7888888.889,6370370.37,0.0,0.0,312953.4074,589572801.5,68681822.28,50659.38889,1053565.796,81111111.11,0.742966944
ruby,comd,0.0333,135303571.4,194857142.9,21714285.71,489642857.1,0.0,17857.14286,0.0,0.0,8476.098214,16164062.42,2054921.17,938.7142857,19688.69643,11857142.86,0.273572732
ruby,comd,0.0666,413111111.1,1016592593.0,375555555.6,2923666667.0,13592592.59,8629629.63,222222.2222,74074.07407,412104.1296,785006475.8,91751623.41,50658.44444,1053565.759,114814814.8,0.994904907
ruby,comd,0.0333,157285714.3,228160714.3,26053571.43,573375000.0,0.0,17857.14286,0.0,0.0,11420.4375,21368287.56,2605353.179,938.7232143,19688.71429,20375000.0,0.282290777
ruby,comd,0.1,543074074.1,1328111111.0,495962963.0,3836000000.0,16777777.78,13000000.0,1222222.222,370370.3704,529646.9259,1010420559.0,115113950.1,48713.61111,1053498.056,146444444.4,1.308822241
